can,00101
will,01110
look,000011
use,001100
work,001110
call,101011
need,101111
state,111001
show,0000000
feel,0000101
talk,0001011
place,0010000
help,0010010
turn,0011011
leave,0100001
hand,0100011
point,0100101
start,0101000
change,0101010
play,0101100
study,0110011
run,0110100
question,0111111
end,1000001
move,1000010
program,1000111
head,1001001
face,1001101
hold,1010010
issue,1011101
name,1100001
set,1100011
report,1100100
love,1100101
house,1101111
stand,1110100
force,1110111
plan,1111010
line,1111101
lead,00000011
support,00000100
result,00000101
pay,00000111
watch,00010001
fall,00011001
stop,00011010
experience,00011101
control,00011110
care,00011111
kid,00100010
walk,00100110
form,00111111
offer,01000000
research,01000100
cut,01000101
win,01001001
break,01001101
process,01001111
base,01010110
hope,01011011
return,01011110
market,01100000
figure,01100010
age,01100100
view,01101011
test,01101100
cost,01101101
drive,01101111
deal,01111000
sense,01111011
step,01111100
cause,10000001
stay,10000111
light,10001001
sound,10001010
pass,10001011
note,10001100
reach,10010100
mind,10010101
record,10010111
answer,10011001
rate,10011100
design,10100001
matter,10100010
increase,10101010
cover,10101011
arm,10110001
value,10110011
hit,10110100
sign,10110110
model,10111000
land,11000001
fire,11001101
share,11001110
practice,11010000
order,11010001
focus,11010010
position,11010100
project,11010101
approach,11011010
fight,11100001
star,11100010
act,11101010
plant,11101100
rule,11110000
picture,11110001
rest,11110011
attack,11110111
vote,11111001
catch,11111100
claim,000001100
measure,000001101
rise,000010001
smile,000100001
risk,000100100
drop,000100110
race,000101000
charge,000101001
visit,000110000
list,000110110
store,000111000
top,000111001
check,001001111
trade,001101000
fund,001101001
benefit,001101010
concern,001111000
wonder,001111001
lie,001111010
color,001111100
range,010000010
challenge,010010000
fear,010011000
score,010011100
address,010100101
press,010101110
interview,010110101
laugh,010111001
coach,010111011
account,010111111
judge,011000010
demand,011000011
feature,011000111
attempt,011001011
travel,011010101
sort,011110100
sleep,011111010
dream,011111011
rock,100001100
beat,100010000
fly,100010001
spring,100011010
finish,100011011
seat,100100000
limit,100100001
lack,100100010
drink,100100011
release,100101100
influence,100101101
touch,100110001
wind,100111011
ride,100111100
dress,100111101
search,100111110
stuff,100111111
worry,101000110
heat,101000111
strike,101001100
notice,101001110
fish,101001111
gain,101010000
train,101010011
track,101100000
wish,101100001
review,101100100
mention,101100101
trouble,101101010
date,101101011
roll,101101110
shape,101110010
debate,110000000
stick,110000001
promise,110001010
spot,110001011
conduct,110011000
block,110011110
tie,110011111
count,110100111
access,110101101
credit,110101111
park,110110000
object,110110001
target,110110010
exercise,110110110
comment,110110111
contact,110111000
wave,110111001
struggle,110111010
survey,110111011
file,111000000
dance,111000110
ship,111000111
document,111010111
cry,111011011
supply,111100100
guard,111100101
handle,111101100
function,111101101
battle,111110001
mark,111111010
shop,111111011
link,111111100
murder,111111110
paint,111111111
ring,0000001000
suit,0000001001
shift,0000001011
screen,0000100001
cross,0000100100
speed,0000100101
crowd,0000100110
tear,0000100111
pound,0001000000
trust,0001001010
jump,0001001011
cook,0001001110
blow,0001001111
bear,0001010100
respect,0001010101
damage,0001010110
estimate,0001010111
spread,0001100010
balance,0001101110
stress,0010001101
display,0010001111
surprise,0010011101
abuse,0011010110
mix,0011010111
desire,0011110110
exchange,0011111010
guide,0011111011
appeal,0100100010
circle,0100100011
trail,0100110010
decline,0100110011
flow,0100111010
match,0100111011
taste,0101001000
rain,0101001001
graduate,0101001101
host,0101001110
witness,0101001111
waste,0101011111
doubt,0101101000
schedule,0101101001
pack,0101110001
honor,0101110101
aid,0101111100
grant,0101111101
wake,0110001100
smoke,0110001101
smell,0110010101
stretch,0110101000
tip,0110101001
frame,0110111000
root,0110111001
photograph,0110111010
advance,0111100100
transfer,0111100101
arrest,0111100111
suspect,0111101010
aim,1000000000
purchase,1000000001
rush,1000000010
request,1000000011
launch,1000011010
print,1001100000
slide,1001100001
glance,1001110101
signal,1010000000
peer,1010000001
bomb,1010000010
escape,1010000011
swing,1010011010
kiss,1010011011
lock,1010100010
copy,1010100011
cast,1010100100
monitor,1011011110
post,1011011111
regard,1011100110
permit,1011100111
volunteer,1100010000
quote,1100010001
favor,1100010010
load,1100010011
pop,1100110010
rank,1100110011
shock,1101001100
joke,1101001101
pause,1101011001
command,1101011100
award,1101011101
label,1101100110
crash,1101100111
finance,1110000010
encounter,1110000011
advocate,1110101100
crack,1110101101
switch,1110110100
protest,1110110101
draft,1111100000
sink,1111100001
brush,1111111010
strip,1111111011
yield,00000010100
pitch,00000010101
delay,00001000000
bet,00001000001
collapse,00010000010
counter,00010000011
bite,00011000110
exhibit,00011000111
slice,00011011110
guarantee,00011011111
divorce,00100011000
trace,00100011001
ban,00100011100
gaze,00100011101
pile,00100111000
excuse,00100111001
stem,00111101110
flash,00111101111
pump,01000001100
ease,01000001101
defeat,01000001110
wound,01000001111
tune,01010011000
rent,01010011001
trap,01010111100
reward,01010111101
rescue,01011100000
reserve,01011100001
hook,01011101000
sponsor,01011101001
repair,01100101000
remark,01100101001
flood,01101110110
harm,01101110111
broadcast,01111001100
seal,01111001101
grin,01111010110
strain,01111010111
twist,10000110110
compromise,10000110111
praise,10011101000
sacrifice,10011101001
bow,10101001010
cure,10101001011
transport,11010110000
harvest,11010110001
